"TaskName","LastRunTime","NextRunTime"
"MdmDiagnosticsCleanup","11/30/1999 12:00:00 AM",
"WinSAT","5/4/2026 1:33:46 PM",
"Logon","4/15/2026 7:27:41 AM",
"RunOnReboot","11/30/1999 12:00:00 AM",
"La57Cleanup","4/29/2026 1:22:36 PM",
"MapsToastTask","11/30/1999 12:00:00 AM",
"Retry","11/30/1999 12:00:00 AM",
"Notifications","5/6/2026 10:01:04 AM",
"ReconcileLanguageResources","5/6/2026 8:29:05 AM",
"Installation","5/6/2026 6:44:05 AM",
"RemediateHardwareChange","11/30/1999 12:00:00 AM",
"DetectHardwareChange","11/30/1999 12:00:00 AM",
"Cellular","11/30/1999 12:00:00 AM",
"WindowsActionDialog","11/30/1999 12:00:00 AM",
"AutomaticOfflineMemoryDiagnostic","4/15/2026 6:29:05 AM",
"SystemSoundsService","4/15/2026 6:29:05 AM",
"Device Install Reboot Required","4/15/2026 6:29:05 AM",
"PCR Prediction Framework Firmware Update Task","11/30/1999 12:00:00 AM",
"MNO Metadata Parser","11/30/1999 12:00:00 AM",
"VerifyWinRE","3/12/2025 8:26:03 PM",
"EduPrintProv","11/30/1999 12:00:00 AM",
"AnalyzeSystem","5/5/2026 1:16:34 PM",
"NcsiIdentifyUserProxies","4/15/2026 6:29:05 AM",
"ProcessMemoryDiagnosticEvents","5/6/2026 9:40:44 AM",
"RunFullMemoryDiagnostic","11/30/1999 12:00:00 AM",
"RequestTrace","11/30/1999 12:00:00 AM",
"LPRemove","5/4/2026 1:33:27 PM",
"WhesvcToast","11/30/1999 12:00:00 AM",
"WiFiTask","11/30/1999 12:00:00 AM",
"Synchronize Language Settings","5/5/2026 8:35:35 AM",
"DmClientOnScenarioDownload","5/5/2026 10:38:16 PM",
"GovernedFeatureUsageProcessing","4/15/2026 1:33:02 AM",
"EDP Auth Task","11/30/1999 12:00:00 AM",
"File History (maintenance mode)","5/5/2026 1:05:55 PM",
"InputSettingsRestoreDataAvailable","11/30/1999 12:00:00 AM",
"UsageDataFlushing","4/15/2026 6:34:11 AM",
"DmClient","5/5/2026 1:05:55 PM",
"DXGIAdapterCache","4/15/2026 1:33:51 AM",
"EDP App Launch Task","11/30/1999 12:00:00 AM",
"dusmtask","11/30/1999 12:00:00 AM",
"EDP Inaccessible Credentials Task","11/30/1999 12:00:00 AM",
"ExploitGuard MDM policy Refresh","4/15/2026 1:32:50 AM",
"StorageCardEncryption Task","11/30/1999 12:00:00 AM",
"StorageSense","5/5/2026 1:05:55 PM",
"MouseSyncDataAvailable","11/30/1999 12:00:00 AM",
"PenSyncDataAvailable","11/30/1999 12:00:00 AM",
"RemoteTouchpadSyncDataAvailable","11/30/1999 12:00:00 AM",
"syncpensettings","11/30/1999 12:00:00 AM",
"TouchpadSyncDataAvailable","11/30/1999 12:00:00 AM",
"ScanForUpdatesAsUser","5/5/2026 1:05:55 PM",
"WakeUpAndContinueUpdates","11/30/1999 12:00:00 AM",
"RestoreDevice","4/14/2026 11:45:14 PM",
"ReconcileConfigs","7/9/2025 11:33:04 PM",
"UsageDataReporting","5/5/2026 11:33:05 PM",
"LocalUserSyncDataAvailable","3/23/2026 5:51:42 PM",
"ReconcileFeatures","5/5/2026 11:36:05 PM",
"UsageDataReceiver","5/2/2026 10:00:19 PM",
"RemoteMouseSyncDataAvailable","11/30/1999 12:00:00 AM",
"RemotePenSyncDataAvailable","11/30/1999 12:00:00 AM",
"Sysprep Generalize Drivers","11/30/1999 12:00:00 AM",
"Windows Defender Scheduled Scan","5/5/2026 7:33:04 PM",
"Windows Defender Cleanup","5/5/2026 7:33:04 PM",
"Windows Defender Cache Maintenance","5/5/2026 7:33:04 PM",
"Windows Defender Verification","5/5/2026 7:33:04 PM",
"BfeOnServiceStartTypeChange","11/30/1999 12:00:00 AM",
"ForceSynchronizeTime","4/15/2026 1:33:09 AM",
"SynchronizeTime","5/5/2026 1:05:55 PM",
"Usb-Notifications","1/24/2026 9:31:13 AM",
"MsCtfMonitor","4/15/2026 6:29:05 AM",
"UpdateAssistantAllUsersRun","11/10/2019 11:12:50 PM",
"ResolutionHost","4/16/2026 12:38:14 PM",
"WiFiTask","10/24/2025 5:36:02 PM",
"UPnPHostConfig","11/30/1999 12:00:00 AM",
"UpdateAssistant","11/10/2019 11:12:50 PM",
"UpdateLibrary","11/30/1999 12:00:00 AM",
"NotificationTask","11/30/1999 12:00:00 AM",
"Device-Sync","11/30/1999 12:00:00 AM",
"Automatic-Device-Join","11/30/1999 12:00:00 AM",
"Recovery-Check","11/30/1999 12:00:00 AM",
"AcerJumpstartTask","4/15/2026 6:34:05 AM",
"XblGameSaveTask","11/30/1999 12:00:00 AM",
"OobeDiscovery","4/15/2026 1:32:51 AM",
"CDSSync","4/15/2026 6:31:07 AM",
"MoProfileManagement","11/30/1999 12:00:00 AM",
